M-D,M,D,1979_SWE_in,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-01,10,1,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.007600004103999999,0.053300028782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002483334674333333,0.0,0.0,0.007600004103999999,0.053300028782,2023-10-01
10-02,10,2,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.058400031536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03300001782,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0037562520283749997,0.0,0.0,0.01598000862920001,0.058400031536,2023-10-02
10-03,10,3,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.007600004103999999,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03050001647,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.020300010961999997,0.0,0.0,0.0,0.003966668808666667,0.0,0.0,0.01598000862920001,0.06600003564,2023-10-03
10-04,10,4,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.007600004103999999,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.005100002754000001,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.022900012366000002,0.0,0.0,0.0,0.004658335848833334,0.0,0.003150001701,0.014230007684200022,0.06600003564,2023-10-04
10-05,10,5,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.007600004103999999,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.010200005508000001,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.025400013716,0.0,0.007600004103999999,0.0,0.015200008207999998,0.0,0.0,0.007600004103999999,0.020300010961999997,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.0,0.006135419979791667,0.0,0.007600004103999999,0.018550010017000008,0.06600003564,2023-10-05
10-06,10,6,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.007600004103999999,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.005100002754000001,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.005100002754000001,0.005100002754000001,0.025400013716,0.0,0.012700006858,0.0,0.015200008207999998,0.0,0.0,0.007600004103999999,0.017800009611999998,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.006033336591333333,0.0,0.007600004103999999,0.01933001043820002,0.06600003564,2023-10-06
10-07,10,7,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.015200008207999998,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.007600004103999999,0.010200005508000001,0.00250000135,0.025400013716,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.005100002754000001,0.015200008207999998,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0058187531421249996,0.0,0.0057250030915000005,0.018550010017000008,0.06600003564,2023-10-07
10-08,10,8,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.03300001782,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.00250000135,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.025400013716,0.005100002754000001,0.025400013716,0.0,0.0,0.0,0.0,0.00250000135,0.007600004103999999,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.005764586446208334,0.0,0.005100002754000001,0.02183001178820002,0.06600003564,2023-10-08
10-09,10,9,0.0,0.0,0.0,0.00250000135,0.017800009611999998,0.0,0.0,0.038100020574,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.005100002754000001,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.005556253000375,0.0,0.003150001701,0.020300010961999997,0.06600003564,2023-10-09
10-10,10,10,0.0,0.0,0.0,0.00250000135,0.010200005508000001,0.0,0.0,0.045700024677999995,0.06600003564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.00250000135,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.025400013716,0.00250000135,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.005606253027375,0.0,0.00250000135,0.023650012771000012,0.06600003564,2023-10-10
